longitude,latitude
-0.10435722,51.51565751
-0.10489231,51.51665536
-0.10441694,51.51421963
-0.11106463,51.51378729
-0.09302231,51.51097737
-0.07685445,51.5116125
-0.08811257,51.5180916
-0.09232604,51.51384373
-0.10412889,51.51421498
-0.10412889,51.51421498
-0.08109615,51.51698774
-0.08342339,51.51648626
-0.08342339,51.51648626
-0.09650125,51.51775152
-0.10191038,51.51211076
-0.08556884,51.51688103
-0.11289526,51.51831314
-0.0936861,51.51233708
-0.0835712,51.51639875
-0.08845887,51.50982394
-0.11074041,51.51117416
-0.10800776,51.5110402
-0.08309002,51.51755994
-0.09946573,51.51198126
-0.08034951,51.517605
-0.08034951,51.517605
-0.07937496,51.51336246
-0.0891472,51.51747898
-0.09932171,51.51197893
-0.08922245,51.51568166
-0.08095211,51.51698538
-0.10425425,51.51466664
-0.09683375,51.51634504
-0.08975235,51.51335219
-0.10407817,51.51196597
-0.08246046,51.51539138
-0.08011362,51.50950771
-0.07750641,51.5132419
-0.09062403,51.51318653
-0.08171287,51.50917419
