,x,y,fold
11899,-0.48235894023876,51.591757937018606,1
12065,-0.482261256422135,51.59468897758121,1
12230,-0.482163556067472,51.5976200165381,1
12394,-0.48206583917107104,51.6005510538894,1
12557,-0.48196810572923204,51.603482089635,1
4910,-0.481948331922069,51.46272990765161,1
12721,-0.48187035573825104,51.606413123775,1
5059,-0.481851071723795,51.4656610125417,1
12885,-0.48177258919442295,51.6093441563094,1
5211,-0.48175379509850397,51.468592115825004,1
13049,-0.481674806094046,51.612275187238204,1
5362,-0.481656502042536,51.4715232175015,1
13209,-0.48157700643341206,51.6152062165614,1
5514,-0.481559192552226,51.47445431757129,1
13354,-0.48147919020881197,51.6181372442789,1
5666,-0.48146186662391,51.4773854160345,1
13492,-0.48138135741654003,51.6210682703909,1
5818,-0.48136452425392406,51.4803165128909,1
13622,-0.481283508052886,51.623999294897295,1
5969,-0.4812671654386,51.4832476081406,1
6120,-0.48116979017427003,51.4861787017836,1
6272,-0.481072398457264,51.48910979382,1
6423,-0.480974990283914,51.492040884249604,1
6575,-0.48087756565054796,51.4949719730726,1
6726,-0.480780124553492,51.4979030602888,1
6874,-0.480682666989075,51.5008341458985,1
7022,-0.480585192953621,51.5037652299014,1
7171,-0.480487702443455,51.506696312297706,1
7320,-0.48039019545489897,51.5096273930874,1
7473,-0.48029267198427505,51.512558472270406,1
7627,-0.48019513202790604,51.515489549846706,1
7780,-0.48009757558210997,51.518420625816496,1
7935,-0.48000000264320597,51.52135170017961,1
8090,-0.479902413207511,51.524282772936104,1
8245,-0.47980480727134295,51.527213844086,1
8400,-0.47970718483101504,51.53014491362929,1
8558,-0.479609545882843,51.533075981565894,1
8716,-0.4795118904231379,51.53600704789601,1
8876,-0.479414218448214,51.5389381126195,1
9037,-0.47931652995438107,51.5418691757364,1
9198,-0.479218824937949,51.544800237246704,1
9360,-0.47912110339522496,51.5477312971505,1
9526,-0.479023365322518,51.550662355447706,1
10211,-0.47863224765795903,51.562386572571,1
10383,-0.47853442687990294,51.5653176228355,1
10555,-0.47843658954968393,51.5682486714934,1
10725,-0.478338735663601,51.5711797185448,1
10895,-0.47824086521795295,51.57411076398971,1
11066,-0.478142978209036,51.5770418078281,1
11234,-0.478045074633146,51.579972850059995,1
11400,-0.477947154486579,51.582903890685394,1
11567,-0.477849217765627,51.5858349297044,1
11733,-0.47775126446658395,51.58876596711679,1
11900,-0.47765329458574196,51.59169700292271,1
12066,-0.47755530811939,51.5946280371222,1
12231,-0.477457305063817,51.5975590697152,1
12395,-0.477359285415312,51.6004901007018,1
12558,-0.4772612491701621,51.6034211300819,1
4911,-0.47725596878166293,51.462669065011504,1
12722,-0.4771631963246529,51.606352157855504,1
5060,-0.47715840817813,51.4656001635545,1
12886,-0.477065126875068,51.6092831840228,1
5212,-0.477060831096899,51.4685312604901,1
13050,-0.47696704081769103,51.6122142085836,1
5363,-0.4769632375342949,51.471462355818005,1
13210,-0.47686893814880604,51.615145231537895,1
5515,-0.47686562748664496,51.474393449538496,1
13355,-0.47677081886469297,51.61807625288589,1
5667,-0.476768000950273,51.4773245416514,1
13493,-0.47667268296163107,51.6210072726274,1
5819,-0.476670357921502,51.4802556321568,1
5970,-0.47657269839665295,51.48318672105471,1
6121,-0.47647502237204903,51.4861178083451,1
6273,-0.47637732984400705,51.489048894027995,1
6424,-0.476279620808848,51.4919799781034,1
6576,-0.476181895262887,51.4949110605713,1
6727,-0.47608415320244296,51.497842141431704,1
6875,-0.47598639462383,51.50077322068461,1
7023,-0.47588861952336103,51.5037042983301,1
7172,-0.47579082789734994,51.506635374368,1
7321,-0.47569301974210904,51.5095664487986,1
7474,-0.47559519505394804,51.5124975216216,1
7628,-0.475497353829178,51.5154285928372,1
7781,-0.475399496064106,51.518359662445405,1
7936,-0.47530162175503904,51.521290730446204,1
8091,-0.475203730898285,51.524221796839505,1
8246,-0.4751058234901471,51.5271528616253,1
8401,-0.47500789952693,51.5300839248038,1
8559,-0.47490995900493604,51.5330149863749,1
8717,-0.47481200192046796,51.5359460463385,1
8877,-0.474714028269826,51.5388771046947,1
9038,-0.47461603804930896,51.5418081614435,1
9199,-0.474518031255215,51.544739216585,1
9361,-0.47442000788384103,51.547670270119106,1
9527,-0.47432196793148396,51.55060132204579,1
9693,-0.474223911394438,51.553532372365,1
